Suite #,Type,Rent ($)[1] (August 2022),Rent ($) (April 2022),Move-in date,Deposit
,,,,,
101,1 bedroom,"1,173","1,173",May-09,425
,,,,,
102,1 bedroom,"1,201","1,201",Sep-12,487.5
,,,,,
103,1 bedroom,"1,624","1,600",May-21,800
,,,,,
104,2 bedroom,"1,802","1,802",Feb-21,887.5
,,,,,
105,2 bedroom,"1,456","1,456",Oct-10,600
,,,,,
106,1 bedroom,"1,573","1,550",May-21,775
,,,,,
107,1 bedroom,"1,421","1,421",May-19,700
,,,,,
109 [2],2 bedroom,"1,850","1,850",n/a,350
,,,,,
110,1 bedroom,"1,160","1,160",Dec-14,490
,,,,,
111,2 bedroom,"1,452","1,452",Jan-02,450
,,,,,
112,2 bedroom,"1,776","1,776",Jul-20,875
,,,,,
114,1 bedroom,"1,573","1,550",Aug-21,775
,,,,,
115,1 bedroom,"1,472","1,472",Mar-20,725
,,,,,
201,1 bedroom,"1,385","1,385",Mar-16,600
,,,,,
202,1 bedroom,"1,152","1,152",Feb-96,342
,,,,,
203,1 bedroom,"1,625","1,625",Apr-22,812
,,,,,
204,2 bedroom,"1,617","1,617",Oct-15,700
,,,,,
205,2 bedroom,"1,827","1,800",Aug-21,900
,,,,,
206,1 bedroom,"1,157","1,157",Aug-90,280
,,,,,
207,1 bedroom,"1,128","1,128",Feb-12,462.5
,,,,,
208,1 bedroom,"1,168","1,168",May-15,505
,,,,,
209,1 bedroom,"1,472","1,472",Dec-19,725
,,,,,
210,1 bedroom,"1,573","1,550",Aug-21,775
,,,,,
211,2 bedroom,"1,607","1,607",Jul-17,742.5
,,,,,
212,2 bedroom,"1,521","1,521",Jul-10,600
,,,,,
214,1 bedroom,"1,171","1,171",May-12,450
,,,,,
215,1 bedroom,"1,453","1,453",Nov-16,647.5
,,,,,
301,1 bedroom,"1,624","1,600",May-21,800
,,,,,
302,1 bedroom,"1,151","1,151",Mar-05,341
,,,,,
303 [3],1 bedroom,"1,183","1,383",Jun-11,482.5
,,,,,
304,2 bedroom,"1,598","1,598",Dec-13,675
,,,,,
305,2 bedroom,"1,510","1,510",Sep-98,415
,,,,,
306,1 bedroom,"1,151","1,151",Jul-14,495
,,,,,
307,1 bedroom,"1,472","1,472",Jan-21,725
,,,,,
308,1 bedroom,"1,145","1,145",May-93,210
,,,,,
309,1 bedroom,"1,600","1,600",Dec-21,800
,,,,,
310,1 bedroom,"1,160","1,160",Aug-14,490
,,,,,
311,2 bedroom,"1,716","1,716",Sep-18,825
,,,,,
312,2 bedroom,"1,579","1,579",Oct-06,600
,,,,,
314,1 bedroom,"1,193","1,193",Oct-85,200
,,,,,
315,1 bedroom,"1,197","1,197",Apr-00,350
,,,,,
Total,41 units,"$58,668 ","$58,724 ",,
